"","migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
"5811",5,0.9,3570,9,3570,9,1,"extinction"
"5812",5,0.9,4991,6,4991,6,1,"extinction"
"5813",5,0.9,2947,10,2947,10,1,"extinction"
"5814",5,0.9,8023,7,8023,7,1,"extinction"
"5815",5,0.9,1143,9,1143,9,1,"extinction"
"5816",5,0.9,589,10,589,10,1,"extinction"
"5817",5,0.9,9257,10,9257,10,1,"extinction"
"5818",5,0.9,3093,9,3093,9,1,"extinction"
"5819",5,0.9,9327,7,9327,7,1,"extinction"
"5820",5,0.9,391,10,391,10,1,"extinction"
"5821",5,0.9,10001,13,1232,43,1,"medium"
"5822",5,0.9,1096,8,1096,8,1,"extinction"
"5823",5,0.9,8708,10,8708,10,1,"extinction"
"5824",5,0.9,3695,10,3695,10,1,"extinction"
"5825",5,0.9,4175,9,4175,9,1,"extinction"
"5826",5,0.9,6486,10,6486,10,1,"extinction"
"5827",5,0.9,2531,10,2531,10,1,"extinction"
"5828",5,0.9,8819,10,8819,10,1,"extinction"
"5829",5,0.9,4092,9,4092,9,1,"extinction"
"5830",5,0.9,3703,10,3703,10,1,"extinction"
"5831",5,0.9,2139,10,2139,10,1,"extinction"
"5832",5,0.9,10001,11,6994,70,1,"medium"
"5833",5,0.9,987,10,987,10,1,"extinction"
"5834",5,0.9,6033,10,6033,10,1,"extinction"
"5835",5,0.9,1627,10,1627,10,1,"extinction"
"5836",5,0.9,4218,10,4218,10,1,"extinction"
"5837",5,0.9,3664,9,3664,9,1,"extinction"
"5838",5,0.9,1102,9,1102,9,1,"extinction"
"5839",5,0.9,10001,12,2882,41,1,"medium"
"5840",5,0.9,10001,12,2487,43,0.976744186046512,"medium"
"5841",5,0.9,10001,11,3605,49,1,"medium"
"5842",5,0.9,1808,10,1808,10,0.95,"extinction"
"5843",5,0.9,10001,13,7973,67,1,"medium"
"5844",5,0.9,10001,11,1723,61,0.983606557377049,"medium"
"5845",5,0.9,378,9,378,9,1,"extinction"
"5846",5,0.9,10001,11,3016,54,1,"medium"
"5847",5,0.9,1062,9,1062,9,0.944444444444444,"extinction"
"5848",5,0.9,4475,9,4475,9,1,"extinction"
"5849",5,0.9,395,5,395,5,1,"extinction"
"5850",5,0.9,2088,10,2088,10,1,"extinction"
"5851",5,0.9,7201,9,7201,9,1,"extinction"
"5852",5,0.9,3840,10,3840,10,1,"extinction"
"5853",5,0.9,10001,11,6018,56,1,"medium"
"5854",5,0.9,4875,9,4875,9,1,"extinction"
"5855",5,0.9,5172,10,5172,10,1,"extinction"
"5856",5,0.9,2327,10,2327,10,1,"extinction"
"5857",5,0.9,2584,5,2584,5,1,"extinction"
"5858",5,0.9,6056,10,6056,10,1,"extinction"
"5859",5,0.9,2096,10,2096,10,1,"extinction"
"5860",5,0.9,1818,10,1818,10,1,"extinction"
"5861",5,0.9,10001,11,7655,36,1,"medium"
"5862",5,0.9,4422,9,4422,9,1,"extinction"
"5863",5,0.9,2735,10,2735,10,1,"extinction"
"5864",5,0.9,7000,10,7000,10,1,"extinction"
"5865",5,0.9,3266,7,3266,7,1,"extinction"
"5866",5,0.9,3360,8,3360,8,1,"extinction"
"5867",5,0.9,5472,10,5472,10,1,"extinction"
"5868",5,0.9,5151,10,5151,10,1,"extinction"
"5869",5,0.9,4404,10,4404,10,1,"extinction"
"5870",5,0.9,2806,10,2806,10,1,"extinction"
"5871",5,0.9,471,10,471,10,1,"extinction"
"5872",5,0.9,6208,8,6208,8,1,"extinction"
"5873",5,0.9,7013,10,7013,10,1,"extinction"
"5874",5,0.9,10001,11,2667,30,1,"medium"
"5875",5,0.9,1777,6,1777,6,1,"extinction"
"5876",5,0.9,5609,9,5609,9,1,"extinction"
"5877",5,0.9,1712,9,1712,9,1,"extinction"
"5878",5,0.9,10001,12,8114,23,1,"medium"
"5879",5,0.9,165,9,165,9,1,"extinction"
"5880",5,0.9,2585,9,2585,9,1,"extinction"
"5881",5,0.9,1061,9,1061,9,1,"extinction"
"5882",5,0.9,3098,10,3098,10,1,"extinction"
"5883",5,0.9,5048,9,5048,9,1,"extinction"
"5884",5,0.9,630,10,630,10,1,"extinction"
"5885",5,0.9,556,10,556,10,1,"extinction"
"5886",5,0.9,3315,9,3315,9,1,"extinction"
"5887",5,0.9,2991,10,2991,10,1,"extinction"
"5888",5,0.9,6046,9,6046,9,1,"extinction"
"5889",5,0.9,6806,7,6806,7,1,"extinction"
"5890",5,0.9,10001,13,8140,26,1,"medium"
"5891",5,0.9,2062,9,2062,9,1,"extinction"
"5892",5,0.9,10001,11,4921,78,1,"medium"
"5893",5,0.9,2933,9,2933,9,1,"extinction"
"5894",5,0.9,6970,9,6970,9,1,"extinction"
"5895",5,0.9,2139,9,2139,9,1,"extinction"
"5896",5,0.9,261,10,261,10,1,"extinction"
"5897",5,0.9,520,5,520,5,1,"extinction"
"5898",5,0.9,3677,8,3677,8,1,"extinction"
"5899",5,0.9,6970,10,6970,10,1,"extinction"
"5900",5,0.9,2727,10,2727,10,1,"extinction"
"5901",5,0.9,6276,8,6276,8,1,"extinction"
"5902",5,0.9,3760,10,3760,10,1,"extinction"
"5903",5,0.9,2396,10,2396,10,0.95,"extinction"
"5904",5,0.9,10001,12,6444,35,1,"medium"
"5905",5,0.9,3331,9,3331,9,1,"extinction"
"5906",5,0.9,4142,10,4142,10,1,"extinction"
"5907",5,0.9,1152,10,1152,10,1,"extinction"
"5908",5,0.9,4858,9,4858,9,1,"extinction"
"5909",5,0.9,5280,10,5280,10,1,"extinction"
"5910",5,0.9,2826,5,2826,5,1,"extinction"
"5911",5,0.9,2559,10,2559,10,1,"extinction"
"5912",5,0.9,433,10,433,10,1,"extinction"
"5913",5,0.9,3016,8,3016,8,1,"extinction"
"5914",5,0.9,10001,11,6209,53,1,"medium"
"5915",5,0.9,7769,10,7769,10,1,"extinction"
"5916",5,0.9,6676,9,6676,9,1,"extinction"
"5917",5,0.9,1259,10,1259,10,1,"extinction"
"5918",5,0.9,5489,9,5489,9,1,"extinction"
"5919",5,0.9,3276,9,3276,9,1,"extinction"
"5920",5,0.9,9162,10,9162,10,1,"extinction"
"5921",5,0.9,2483,8,2483,8,1,"extinction"
"5922",5,0.9,1864,10,1864,10,1,"extinction"
"5923",5,0.9,3553,9,3553,9,1,"extinction"
"5924",5,0.9,1495,10,1495,10,1,"extinction"
"5925",5,0.9,4817,10,4817,10,1,"extinction"
"5926",5,0.9,2394,10,2394,10,1,"extinction"
"5927",5,0.9,571,10,571,10,1,"extinction"
"5928",5,0.9,1958,8,1958,8,1,"extinction"
"5929",5,0.9,10001,11,6577,53,1,"medium"
"5930",5,0.9,3192,8,3192,8,1,"extinction"
"5931",5,0.9,10001,11,3536,45,1,"medium"
"5932",5,0.9,10001,11,2597,41,1,"medium"
"5933",5,0.9,2474,9,2474,9,1,"extinction"
"5934",5,0.9,6709,10,6709,10,1,"extinction"
"5935",5,0.9,10001,11,5193,47,0.98936170212766,"medium"
"5936",5,0.9,976,10,976,10,1,"extinction"
"5937",5,0.9,1922,10,1922,10,1,"extinction"
"5938",5,0.9,10001,11,9236,38,1,"medium"
"5939",5,0.9,6804,10,6804,10,1,"extinction"
"5940",5,0.9,2957,8,2957,8,1,"extinction"
"5941",5,0.9,10001,12,7518,52,1,"medium"
"5942",5,0.9,8999,9,8999,9,1,"extinction"
"5943",5,0.9,3168,8,3168,8,1,"extinction"
"5944",5,0.9,2089,9,2089,9,1,"extinction"
"5945",5,0.9,4662,10,4662,10,0.9,"extinction"
"5946",5,0.9,10001,13,1577,61,1,"medium"
"5947",5,0.9,5832,10,5832,10,1,"extinction"
"5948",5,0.9,4267,10,4267,10,1,"extinction"
"5949",5,0.9,206,8,206,8,1,"extinction"
"5950",5,0.9,1591,9,1591,9,1,"extinction"
"5951",5,0.9,257,10,257,10,1,"extinction"
"5952",5,0.9,10001,12,4342,55,1,"medium"
"5953",5,0.9,1710,10,1710,10,1,"extinction"
"5954",5,0.9,10001,12,3315,42,0.988095238095238,"medium"
"5955",5,0.9,4730,10,4730,10,1,"extinction"
"5956",5,0.9,10001,12,5890,77,1,"medium"
"5957",5,0.9,3102,10,3102,10,1,"extinction"
"5958",5,0.9,4235,6,4235,6,1,"extinction"
"5959",5,0.9,1547,9,1547,9,1,"extinction"
"5960",5,0.9,10001,11,3327,56,1,"medium"
"5961",5,0.9,336,10,336,10,1,"extinction"
"5962",5,0.9,1609,10,1609,10,1,"extinction"
